"Area","Item","Expected","Actual","Status"
"Form mode","CRM - New Signals","ContentTypesEnabled=True","ContentTypesEnabled=False","Mismatch"
"Form formatter","CRM - New Signals","Item","ContentTypeMissing","Missing"
"Friendly field label","Title","Signal summary","","Missing"
"Friendly field label","PersonName","Person","","Missing"
"Friendly field label","PersonEmail","Email","","Missing"
"Friendly field label","OrganizationName","Organization","","Missing"
"Friendly field label","SignalType","Signal type","","Missing"
"Friendly field label","SignalStatus","Status","","Missing"
"Friendly field label","NeedSummary","Need / opportunity","","Missing"
"Friendly field label","SourceText","Email or context paste","","Missing"
"Friendly field label","NextAction","Next action","","Missing"
"Friendly field label","FollowUpDueDate","Follow-up date","","Missing"
"Friendly field label","RelatedLink","Related file/link","","Missing"
"Manual intake blocker","PersonName","Required=False","","Missing"
"Manual intake blocker","PersonEmail","Required=False","","Missing"
"Manual intake blocker","OrganizationName","Required=False","","Missing"
"Manual intake blocker","FollowUpDueDate","Required=False","","Missing"
"Manual intake blocker","RelatedLink","Required=False","","Missing"
"Manual intake blocker","ItemOwner","Required=False","","Missing"
"Visible intake form field","Title","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","PersonName","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","PersonEmail","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","OrganizationName","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","SignalType","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","Priority","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","NeedSummary","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","SourceText","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","NextAction","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","FollowUpDueDate","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","RelatedLink","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","SignalStatus","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
"Visible intake form field","ItemOwner","FormatterContainsField; ShowInNewForm=True; ShowInEditForm=True","","Missing"
